longitude,latitude,elevation
17.0244444444,51.1263888889,115
17.0247222222,51.1263888889,115
17.0250000000,51.1263888889,114
17.0252777778,51.1263888889,114
17.0255555556,51.1263888889,113
17.0258333333,51.1263888889,114
17.0261111111,51.1263888889,116
17.0263888889,51.1263888889,116
17.0266666667,51.1263888889,116
17.0269444444,51.1263888889,115
17.0272222222,51.1263888889,114
17.0275000000,51.1263888889,114
17.0277777778,51.1263888889,115
17.0280555556,51.1263888889,115
17.0283333333,51.1263888889,116
17.0286111111,51.1263888889,116
17.0288888889,51.1263888889,116
17.0291666667,51.1263888889,116
17.0294444444,51.1263888889,117
17.0297222222,51.1263888889,117
17.0300000000,51.1263888889,117
17.0302777778,51.1263888889,117
17.0305555556,51.1263888889,116
17.0308333333,51.1263888889,117
17.0311111111,51.1263888889,118
17.0313888889,51.1263888889,117
17.0316666667,51.1263888889,116
17.0319444444,51.1263888889,115
17.0322222222,51.1263888889,113
17.0325000000,51.1263888889,114
17.0327777778,51.1263888889,115
17.0330555556,51.1263888889,115
17.0333333333,51.1263888889,116
17.0336111111,51.1263888889,117
17.0338888889,51.1263888889,118
17.0341666667,51.1263888889,119
17.0344444444,51.1263888889,120
17.0347222222,51.1263888889,119
17.0350000000,51.1263888889,118
17.0352777778,51.1263888889,117
17.0355555556,51.1263888889,116
17.0358333333,51.1263888889,115
17.0361111111,51.1263888889,113
17.0363888889,51.1263888889,113
17.0366666667,51.1263888889,112
17.0369444444,51.1263888889,112
17.0372222222,51.1263888889,111
17.0375000000,51.1263888889,111
17.0377777778,51.1263888889,111
17.0380555556,51.1263888889,111
17.0383333333,51.1263888889,112
17.0244444444,51.1261111111,117
17.0247222222,51.1261111111,117
17.0250000000,51.1261111111,116
17.0252777778,51.1261111111,115
17.0255555556,51.1261111111,114
17.0258333333,51.1261111111,114
17.0261111111,51.1261111111,114
17.0263888889,51.1261111111,114
17.0266666667,51.1261111111,114
17.0269444444,51.1261111111,113
17.0272222222,51.1261111111,112
17.0275000000,51.1261111111,112
17.0277777778,51.1261111111,113
17.0280555556,51.1261111111,114
17.0283333333,51.1261111111,115
17.0286111111,51.1261111111,115
17.0288888889,51.1261111111,114
17.0291666667,51.1261111111,114
17.0294444444,51.1261111111,115
17.0297222222,51.1261111111,116
17.0300000000,51.1261111111,117
17.0302777778,51.1261111111,117
17.0305555556,51.1261111111,116
17.0308333333,51.1261111111,116
17.0311111111,51.1261111111,117
17.0313888889,51.1261111111,117
17.0316666667,51.1261111111,116
17.0319444444,51.1261111111,116
17.0322222222,51.1261111111,115
17.0325000000,51.1261111111,115
17.0327777778,51.1261111111,116
17.0330555556,51.1261111111,117
17.0333333333,51.1261111111,118
17.0336111111,51.1261111111,119
17.0338888889,51.1261111111,121
17.0341666667,51.1261111111,122
17.0344444444,51.1261111111,123
17.0347222222,51.1261111111,122
17.0350000000,51.1261111111,120
17.0352777778,51.1261111111,119
17.0355555556,51.1261111111,118
17.0358333333,51.1261111111,117
17.0361111111,51.1261111111,115
17.0363888889,51.1261111111,114
17.0366666667,51.1261111111,113
17.0369444444,51.1261111111,113
17.0372222222,51.1261111111,114
17.0375000000,51.1261111111,114
17.0377777778,51.1261111111,114
17.0380555556,51.1261111111,114
17.0383333333,51.1261111111,115
17.0244444444,51.1258333333,119
17.0247222222,51.1258333333,118
17.0250000000,51.1258333333,117
17.0252777778,51.1258333333,116
17.0255555556,51.1258333333,114
17.0258333333,51.1258333333,114
17.0261111111,51.1258333333,114
17.0263888889,51.1258333333,114
17.0266666667,51.1258333333,113
17.0269444444,51.1258333333,113
17.0272222222,51.1258333333,113
17.0275000000,51.1258333333,113
17.0277777778,51.1258333333,114
17.0280555556,51.1258333333,114
17.0283333333,51.1258333333,114
17.0286111111,51.1258333333,113
17.0288888889,51.1258333333,112
17.0291666667,51.1258333333,113
17.0294444444,51.1258333333,114
17.0297222222,51.1258333333,115
17.0300000000,51.1258333333,117
17.0302777778,51.1258333333,117
17.0305555556,51.1258333333,117
17.0308333333,51.1258333333,118
17.0311111111,51.1258333333,119
17.0313888889,51.1258333333,118
17.0316666667,51.1258333333,116
17.0319444444,51.1258333333,116
17.0322222222,51.1258333333,116
17.0325000000,51.1258333333,116
17.0327777778,51.1258333333,117
17.0330555556,51.1258333333,118
17.0333333333,51.1258333333,119
17.0336111111,51.1258333333,120
17.0338888889,51.1258333333,121
17.0341666667,51.1258333333,121
17.0344444444,51.1258333333,121
17.0347222222,51.1258333333,120
17.0350000000,51.1258333333,119
17.0352777778,51.1258333333,119
17.0355555556,51.1258333333,119
17.0358333333,51.1258333333,118
17.0361111111,51.1258333333,117
17.0363888889,51.1258333333,116
17.0366666667,51.1258333333,115
17.0369444444,51.1258333333,115
17.0372222222,51.1258333333,116
17.0375000000,51.1258333333,116
17.0377777778,51.1258333333,115
17.0380555556,51.1258333333,115
17.0383333333,51.1258333333,115
17.0244444444,51.1255555556,120
17.0247222222,51.1255555556,118
17.0250000000,51.1255555556,116
17.0252777778,51.1255555556,116
17.0255555556,51.1255555556,115
17.0258333333,51.1255555556,115
17.0261111111,51.1255555556,115
17.0263888889,51.1255555556,115
17.0266666667,51.1255555556,114
17.0269444444,51.1255555556,114
17.0272222222,51.1255555556,114
17.0275000000,51.1255555556,114
17.0277777778,51.1255555556,115
17.0280555556,51.1255555556,115
17.0283333333,51.1255555556,114
17.0286111111,51.1255555556,114
17.0288888889,51.1255555556,113
17.0291666667,51.1255555556,113
17.0294444444,51.1255555556,114
17.0297222222,51.1255555556,115
17.0300000000,51.1255555556,116
17.0302777778,51.1255555556,117
17.0305555556,51.1255555556,118
17.0308333333,51.1255555556,118
17.0311111111,51.1255555556,118
17.0313888889,51.1255555556,118
17.0316666667,51.1255555556,117
17.0319444444,51.1255555556,117
